10000236	兴发集团	600141
10000237	康美药业	600518
10000238	驰宏锌锗	600497
10000239	海信视像	600060
10000240	信雅达	600571
10000241	长城电工	600192
10000242	惠泉啤酒	600573
10000243	精达股份	600577
10000245	同仁堂	600085
10000246	澄星股份	600078
10000247	联创光电	600363
10000248	航天信息	600271
10000249	航发科技	600391
10000250	*ST信通	600289
10000251	恒丰纸业	600356
10000252	冠豪高新	600433
10000253	上港集团	600018
10000254	中国卫星	600118
10000255	楚天高速	600035
10000256	*ST海越	600387
10000257	东望时代	600052
10000258	开创国际	600097
10000259	三峡新材	600293
10000263	光明乳业	600597
10000264	广东明珠	600382
10000265	烽火通信	600498
10000266	海航控股	600221
10000267	大位科技	600589
10000268	两面针	600249
10000269	上海建工	600170
10000271	歌华有线	600037
10000272	昊华科技	600378
10000273	豫光金铅	600531
10000274	恒生电子	600570
10000275	敦煌种业	600354
10000276	红豆股份	600400
10000277	康恩贝	600572
10000278	特变电工	600089
10000279	ST舜天	600287
10000280	龙溪股份	600592
10000281	国网信通	600131
10000282	武汉控股	600168
10000283	酒钢宏兴	600307
10000284	华电辽能	600396
10000286	陕建股份	600248
10000287	中国联通	600050
10000288	国网英大	600517
10000289	连云港	601008
10000291	西藏城投	600773
10000292	通化东宝	600867
10000293	飞乐音响	600651
10000294	锦江酒店	600754
10000295	淮北矿业	600985
10000296	兰生股份	600826
10000297	复旦复华	600624
10000298	陆家嘴	600663
10000299	辽宁成大	600739
10000300	综艺股份	600770
10000301	宁波海运	600798
10000302	海尔智家	600690
10000303	新黄浦	600638
10000304	老凤祥	600612
10000305	同济科技	600846
10000306	南京新百	600682
10000307	汉商集团	600774
10000308	上工申贝	600843
10000309	南宁百货	600712
10000310	新世界	600628
10000311	新五丰	600975
10000312	安徽合力	600761
10000313	中路股份	600818
10000314	华银电力	600744
10000315	实达集团	600734
10000316	中航重机	600765
10000317	隧道股份	600820
10000318	鲁银投资	600784
10000319	福耀玻璃	600660
10000320	天宸股份	600620
10000322	杭州解百	600814
10000323	金枫酒业	600616
10000324	四川长虹	600839
10000325	国电电力	600795
10000326	尖峰集团	600668
10000327	新华传媒	600825
10000332	丽尚国潮	600738
10000333	上海物贸	600822
10000336	动力新科	600841
10000337	昂立教育	600661
10000338	大连热电	600719
10000339	山西汾酒	600809
10000340	上实发展	600748
10000341	金龙汽车	600686
10000345	开滦股份	600997
10000346	东方集团	600811
10000347	香溢融通	600830
10000348	潞安环能	601699
10000351	百大集团	600865
10000352	杉杉股份	600884
10000353	申达股份	600626
10000354	太极实业	600667
10000355	中材国际	600970
10000356	浙大网新	600797
10000357	张江高科	600895
10000358	中储股份	600787
10000359	申华控股	600653
10000360	福建水泥	600802
10000361	申能股份	600642
10000362	东百集团	600693
10000363	重庆百货	600729
10000364	闻泰科技	600745
10000366	东软集团	600718
10000367	保税科技	600794
10000368	天地源	600665
10000369	航民股份	600987
10000370	哈投股份	600864
10000372	电科数字	600850
10000373	上海机电	600835
10000374	华新水泥	600801
10000375	华北制药	600812
10000376	东方通信	600776
10000377	内蒙华电	600863
10000378	豫园股份	600655
10000379	锦江在线	600650
10000380	钱江生化	600796
10000381	华域汽车	600741
10000382	光大嘉宝	600622
10000383	益民集团	600824
10000386	亚通股份	600692
10000387	悦达投资	600805
10000388	上海九百	600838
10000390	浦东金桥	600639
10000391	轻纺城	600790
10000392	新华锦	600735
10000393	丹化科技	600844
10000394	西藏旅游	600749
10000395	济高发展	600807
10000396	博闻科技	600883
10000397	宁波富邦	600768
10000398	京能置业	600791
10000399	宁波富达	600724
10000400	湖南海利	600731
10000401	华远地产	600743
10000402	庚星股份	600753
10000403	天津港	600717
10000404	大秦铁路	601006
10000405	珠江股份	600684
10000407	辽宁能源	600758
10000408	马应龙	600993
10000409	神马股份	600810
10000410	申通地铁	600834
10000411	外服控股	600662
10000412	一汽富维	600742
10000413	南京医药	600713
10000414	海欣股份	600851
10000415	信达地产	600657
10000416	大众公用	600635
10000417	伊利股份	600887
10000418	金陵饭店	601007
10000421	大商股份	600694
10000422	兴业银行	601166
10000423	华电能源	600726
10000424	川投能源	600674
10000425	新钢股份	600782
10000426	郴电国际	600969
10000427	哈药股份	600664
10000428	鲁信创投	600783
10000430	凤凰股份	600716
10000431	西部矿业	601168
10000432	北京银行	601169
10000433	金瑞矿业	600714
10000434	通策医疗	600763
10000435	太平洋	601099
10000436	大智慧	601519
10000437	中国中免	601888
10000438	深圳燃气	601139
10000439	中国化学	601117
10000440	柳钢股份	601003
10000441	中国重工	601989
10000442	招商证券	600999
10000443	昊华能源	601101
10000444	龙江交通	601188
10000445	际华集团	601718
10000446	亚星锚链	601890
10000447	星宇股份	601799
10000448	江南水务	601199
10000449	陕鼓动力	601369
10000450	郑煤机	601717
10000452	中国建筑	601668
10000455	浪莎股份	600137
10000456	中国船舶	600150
10000457	大龙地产	600159
10000458	卧龙地产	600173
10000459	厦工股份	600815
10000460	华能国际	600011
10000461	皖通高速	600012
10000462	华电国际	600027
10000463	南方航空	600029
10000464	中信证券	600030
10000465	兖矿能源	600188
10000466	江西铜业	600362
10000467	宁沪高速	600377
10000468	深高速	600548
10000469	青岛啤酒	600600
10000470	马钢股份	600808
10000471	创业环保	600874
10000472	东方电气	600875
10000473	凯盛新能	600876
10000474	中国神华	601088
10000475	中国平安	601318
10000476	中国铝业	601600
10000477	中国人寿	601628
10000478	中海油服	601808
10000479	中国银行	601988
10000480	大唐发电	601991
10000481	中煤能源	601898
10000482	南京熊猫	600775
10000483	航天长峰	600855
10000484	龙建股份	600853
10000485	第一医药	600833
10000487	宝信软件	600845
10000489	卧龙电驱	600580
10000490	三房巷	600370
10000491	双良节能	600481
10000494	中盐化工	600328
10000496	开开实业	600272
10000497	复星医药	600196
10000499	民生银行	600016
10000500	苏豪弘业	600128
10000501	银座股份	600858
10000502	羚锐制药	600285
10000503	太龙药业	600222
10000504	辽港股份	601880
10000505	农业银行	601288
10000506	皖新传媒	601801
10000507	建设银行	601939
10000508	万业企业	600641
10000509	冠城新材	600067
10000510	吉鑫科技	601218
10000511	明星电力	600101
10000512	苏州高新	600736
10000513	欧亚集团	600697
10000514	渤海汽车	600960
10000515	华泰证券	601688
10000516	亚泰集团	600881
10000517	浙文互联	600986
10000518	滨化股份	601678
10000519	晋控煤业	601001
10000520	永辉超市	601933
10000521	博瑞传播	600880
10000522	上海电气	601727
10000523	航天电子	600879
10000524	紫金矿业	601899
10000525	招商轮船	601872
10000526	南京银行	601009
10000527	中国一重	601106
10000528	金隅集团	601992
10000529	南网储能	600995
10000530	中国高科	600730
10000531	金钼股份	601958
10000532	光大银行	601818
10000533	光大证券	601788
10000534	风范股份	601700
10000535	中国中铁	601390
10000536	交通银行	601328
10000537	四方股份	601126
10000538	宁波能源	600982
10000539	宝胜股份	600973
10000540	新疆众和	600888
10000541	南京化纤	600889
10000542	湘邮科技	600476
10000543	凤竹纺织	600493
10000544	中国太保	601601
10000545	中国西电	601179
10000546	中国国航	601111
10000547	鲁抗医药	600789
10000548	重庆水务	601158
10000549	吉林高速	601518
10000550	山西焦化	600740
10000551	贵绳股份	600992
10000552	博汇纸业	600966
10000553	北辰实业	601588
10000554	长江电力	600900
10000555	中国石油	601857
10000557	城投控股	600649
10000558	江苏索普	600746
10000559	三江购物	601116
10000560	杭齿前进	601177
10000562	广深铁路	601333
10000563	中信银行	601998
10000564	平煤股份	601666
10000565	四川成渝	601107
10000566	中南传媒	601098
10000567	九州通	600998
10000568	海南橡胶	601118
10000569	重庆钢铁	601005
10000570	恒源煤电	600971
10000571	天坛生物	600161
10000572	正泰电器	601877
10000573	唐山港	601000
10000574	兴业证券	601377
10000575	中国中冶	601618
10000576	益佰制药	600594
10000577	中交设计	600720
10000578	通宝能源	600780
10000579	福建高速	600033
10000580	三安光电	600703
10000581	工商银行	601398
10000582	厦门国贸	600755
10000583	方正科技	600601
10000584	浦发银行	600000
10000585	长园集团	600525
10000586	三一重工	600031
10000587	中原高速	600020
10000588	中国东航	600115
10000589	国电南瑞	600406
10000591	福瑞达	600223
10000605	桐昆股份	601233
10000606	东材科技	601208
10000607	航天机电	600151
10000608	九牧王	601566
10000609	骆驼股份	601311
10000610	文峰股份	601010
10000611	创兴资源	600193
10000612	鄂尔多斯	600295
10000613	岳阳林纸	600963
10000614	澳柯玛	600336
10000615	舍得酒业	600702
10000617	蓝科高新	601798
10000618	派斯林	600215
10000620	振华重工	600320
10000621	黑牡丹	600510
10000623	保利发展	600048
10000624	津投城开	600322
10000625	华阳股份	600348
10000626	精工钢构	600496
10000627	海立股份	600619
10000630	大众交通	600611
10000631	ST广网	600831
10000632	金开新能	600821
10000633	龙头股份	600630
10000634	丰华股份	600615
10000635	出版传媒	601999
10000636	广电电气	601616
10000637	友好集团	600778
10000638	中炬高新	600872
10000639	千里科技	601777
10000640	方正证券	601901
10000641	旗滨集团	601636
10000642	宁波建工	601789
10000643	中国海防	600764
10000645	京运通	601908
10000646	*ST宁科	600165
10000647	广安爱众	600979
10000648	海通证券	600837
10000649	明泰铝业	601677
10000650	长城汽车	601633
10000651	浙数文化	600633
10000652	云煤能源	600792
10000653	光电股份	600184
10000655	氯碱化工	600618
10000657	四创电子	600990
10000659	晋亿实业	601002
10000662	玉龙股份	601028
10000663	丰林集团	601996
10000664	ST华微	600360
10000665	凤凰传媒	601928
10000666	东吴证券	601555
10000667	新华保险	601336
10000669	亿晶光电	600537
10000670	宁夏建材	600449
10000671	上汽集团	600104
10000672	环旭电子	601231
10000673	格力地产	600185
10000676	大名城	600094
10000678	国投电力	600886
10000679	中国交建	601800
10000680	三六零	601360
10000681	吉视传媒	601929
10000682	东峰集团	601515
10000684	山东钢铁	600022
10000685	长江传媒	600757
10000686	华润双鹤	600062
10000687	山东高速	600350
